Thread 1 seed: 264221
Init time: 0.006187 s

Loading weights-stage1.bin finished: 0.350813 s
Loading weights-stage2.bin finished: 0.38581 s
33280->33344: 0.568 457107 0 378668
33344->33408: 0.568 457544 0 378668
33408->33472: 0.568 457852 0 378668
33472->33536: 0.568 458544 0 378668
33536->33600: 0.568 458853 0 378668
33600->33664: 0.5678 459289 91.7858 378668
33664->33728: 0.5678 459597 0 378576
33728->33792: 0.5676 461826 91.9073 378576
33792->33856: 0.5676 462134 0 378484
33856->33920: 0.5676 462571 0 378484
33920->33984: 0.5676 462879 0 378484
33984->34048: 0.5674 463571 92.5911 378484
34048->34112: 0.5674 463880 0 378392
34112->34176: 0.5672 464316 92.7637 378392
34176->34240: 0.5672 464624 0 378299
34240->34304: 0.5672 465829 0 378299
34304->34368: 0.5672 466137 0 378299
34368->34432: 0.567 466574 93.2429 378299
34432->34496: 0.567 466882 0 378206
34496->34560: 0.5664 467574 280.12 378206
34560->34624: 0.5664 467883 0 377926
34624->34688: 0.5664 468319 0 377926
34688->34752: 0.5664 468627 0 377926
34752->34816: 0.566 472904 187.454 377926
34816->34880: 0.566 473212 0 377738
34880->34944: 0.566 473649 0 377738
34944->35008: 0.566 473957 0 377738
35008->35072: 0.566 474649 0 377738
35072->35136: 0.566 474958 0 377738
35136->35200: 0.5658 475394 94.979 377738
35200->35264: 0.5658 475702 0 377643
35264->35328: 0.5658 476907 0 377643
35328->35392: 0.5658 477215 0 377643
35392->35456: 0.5658 477652 0 377643
35456->35520: 0.5658 477960 0 377643
35520->35584: 0.5658 478652 0 377643
35584->35648: 0.5658 478961 0 377643
35648->35712: 0.5656 479397 95.808 377643
35712->35776: 0.5656 479705 0 377547
35776->35840: 0.5656 481934 0 377547
35840->35904: 0.5656 482242 0 377547
35904->35968: 0.5656 482679 0 377547
35968->36032: 0.5656 482987 0 377547
36032->36096: 0.5652 483679 193.198 377547
36096->36160: 0.5652 483988 0 377354
36160->36224: 0.565 484424 96.7848 377354
36224->36288: 0.5648 484732 96.872 377257
36288->36352: 0.5646 485937 96.9626 377160
36352->36416: 0.5646 486245 0 377064
36416->36480: 0.5644 486682 97.2362 377064
36480->36544: 0.5642 486990 97.3525 376966
36544->36608: 0.5642 487682 0 376869
36608->36672: 0.5642 487991 0 376869
36672->36736: 0.564 488427 97.5852 376869
36736->36800: 0.564 488735 0 376771
36800->36864: 0.5624 497108 781.99 376771
36864->36928: 0.5624 497416 0 375989
36928->36992: 0.5624 497853 0 375989
36992->37056: 0.5624 498161 0 375989
37056->37120: 0.5624 498853 0 375989
37120->37184: 0.5624 499162 0 375989
37184->37248: 0.5624 499598 0 375989
37248->37312: 0.5624 499906 0 375989
37312->37376: 0.5622 501111 99.9681 375989
37376->37440: 0.5622 501419 0 375889
37440->37504: 0.5622 501856 0 375889
37504->37568: 0.5622 502164 0 375889
37568->37632: 0.5622 502856 0 375889
37632->37696: 0.5622 503165 0 375889
37696->37760: 0.5622 503601 0 375889
37760->37824: 0.5622 503909 0 375889
37824->37888: 0.562 506138 100.799 375889
37888->37952: 0.562 506446 0 375789
37952->38016: 0.562 506883 0 375789
38016->38080: 0.562 507191 0 375789
38080->38144: 0.562 507883 0 375789
38144->38208: 0.562 508192 0 375789
38208->38272: 0.5618 508628 101.625 375789
38272->38336: 0.5614 508936 203.455 375687
38336->38400: 0.5612 510141 101.774 375483
38400->38464: 0.5612 510449 0 375382
38464->38528: 0.561 510886 102.107 375382
38528->38592: 0.561 511194 0 375280
38592->38656: 0.5608 511886 102.225 375280
38656->38720: 0.5604 512195 204.758 375177
38720->38784: 0.5602 512631 102.456 374973
38784->38848: 0.5598 512939 205.025 374870
38848->38912: 0.559 517216 410.358 374665
38912->38976: 0.559 517524 0 374255
38976->39040: 0.559 517961 0 374255
39040->39104: 0.559 518269 0 374255
39104->39168: 0.559 518961 0 374255
39168->39232: 0.559 519270 0 374255
39232->39296: 0.5586 519706 207.711 374255
39296->39360: 0.5584 520014 103.958 374047
39360->39424: 0.558 521219 207.978 373943
39424->39488: 0.558 521527 0 373735
39488->39552: 0.558 521964 0 373735
39552->39616: 0.558 522272 0 373735
39616->39680: 0.558 522964 0 373735
39680->39744: 0.5578 523273 104.61 373735
39744->39808: 0.557 523709 418.625 373630
39808->39872: 0.5568 524017 104.728 373212
39872->39936: 0.5564 526246 209.611 373107
39936->40000: 0.5564 526554 0 372898
40000->40064: 0.5562 526991 105.297 372898
40064->40128: 0.556 527299 105.416 372792
40128->40192: 0.5556 527991 210.923 372687
40192->40256: 0.5556 528300 0 372476
40256->40320: 0.5552 528736 211.323 372476
40320->40384: 0.5552 529044 0 372265
40384->40448: 0.555 530249 105.795 372265
40448->40512: 0.555 530557 0 372159
40512->40576: 0.5544 530994 318.324 372159
40576->40640: 0.554 531302 212.401 371840
40640->40704: 0.5528 531994 637.573 371628
40704->40768: 0.5528 532303 0 370990
40768->40832: 0.5478 532739 2661.51 370990
40832->40896: 0.5464 533047 745.831 368329
40896->40960: 0.5392 549612 3837.94 367583
40960->41024: 0.5392 549920 0 363745
41024->41088: 0.5392 550357 0 363745
41088->41152: 0.5392 550665 0 363745
41152->41216: 0.5392 551357 0 363745
41216->41280: 0.5392 551666 0 363745
41280->41344: 0.5392 552102 0 363745
41344->41408: 0.5392 552410 0 363745
41408->41472: 0.5392 553615 0 363745
41472->41536: 0.5392 553923 0 363745
41536->41600: 0.5392 554360 0 363745
